State,Sum of Estimated total employment(Thousands),Average of Mean annual wage(Thousands)
Alabama,17.79,77.45
Alaska,2.24,81.27
Arizona,38.79,73.18
Arkansas,10.22,61.23
California,270.88,90.65
Colorado,38.41,84.18
Connecticut,33.85,89.16
Delaware,10.92,80.22
District of Columbia,42.09,91.68
Florida,100.54,74.70
Georgia,71.20,72.51
Guam,0.27,48.44
Hawaii,4.69,72.24
Idaho,5.10,70.25
Illinois,84.00,82.62
Indiana,27.94,68.98
Iowa,16.17,70.43
Kansas,13.64,73.61
Kentucky,13.71,63.07
Louisiana,8.91,67.23
Maine,4.70,66.05
Maryland,54.37,86.01
Massachusetts,77.65,85.28
Michigan,48.76,73.50
Minnesota,35.72,77.23
Mississippi,5.18,59.95
Missouri,32.08,70.44
Montana,2.38,61.57
Nebraska,10.67,68.97
Nevada,8.82,74.73
New Hampshire,7.15,78.08
New Jersey,57.44,90.24
New Mexico,7.03,71.57
New York,165.37,98.67
North Carolina,54.84,78.10
North Dakota,2.16,62.76
Ohio,81.80,77.12
Oklahoma,13.06,63.71
Oregon,17.22,77.06
Pennsylvania,84.55,75.95
Puerto Rico,6.36,48.47
Rhode Island,8.50,76.44
South Carolina,21.66,64.88
South Dakota,4.41,63.85
Tennessee,28.49,69.14
Texas,143.13,80.07
Utah,16.92,68.18
Vermont,2.85,70.20
Virgin Islands,0.14,50.40
Virginia,118.13,89.56
Washington,53.11,85.29
West Virginia,3.28,61.94
Wisconsin,37.45,67.93
Wyoming,1.06,69.60
